0.211,0.378,0.459,0.422,0.472,0.498
0.025,0.156,0.286,0.295,0.331,0.341
0.003,0.083,0.223,0.222,0.23,0.284
0,0.056,0.145,0.172,0.139,0.245
0,0.031,0.081,0.148,0.106,0.217
0,0.027,0.078,0.109,0.081,0.192
0,0.028,0.063,0.089,0.067,0.192
0,0.016,0.033,0.063,0.078,0.177
0,0.016,0.023,0.025,0.048,0.172
0,0.008,0.016,0.031,0.045,0.128
0,0,0.019,0.019,0.05,0.139
0,0.002,0.009,0.025,0.036,0.117
0,0.005,0.008,0.005,0.031,0.103
0,0.003,0.013,0,0.027,0.098
0,0.002,0.009,0,0.016,0.106
0,0,0.013,0,0.014,0.106
0,0,0.008,0,0.014,0.078
0,0,0.006,0,0.014,0.077
0,0,0.009,0,0.013,0.078
0,0,0.003,0,0.014,0.061
0,0,0.005,0,0.013,0.058
0,0,0,0,0.009,0.042
0,0,0.003,0,0.011,0.042
0,0,0.005,0,0.008,0.03
0,0,0.002,0,0.008,0.038